股票代码,股票名称,行业,收盘价,涨跌幅%,量比,走势类型,趋势强度,中枢位置,中枢上沿ZG,中枢下沿ZD,笔方向,线段方向,买点类型,买点置信度,卖点类型,卖点置信度,二买确认,二买置信度,双级确认买,双级确认卖,信号级别,买入强度,卖出强度,底背驰,顶背驰,均线排列,均线破位,量异常,笔趋势耗尽,综合评分,机会等级,风险等级,止损价
001211,双枪科技,消费,57.77,2.48,1.21,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,53.73
001366,播恩集团,农业,15.56,-2.2,0.93,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,14.47
002009,天奇股份,自动化/制造,28.2,2.32,2.69,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,倍量,,0.38,D,安全,26.23
002585,双星新材,化工,8.39,0.36,1.2,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,7.8
002795,永和智控,自动化/制造,9.96,3.0,1.25,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,9.26
002952,亚世光电,电子,29.89,4.73,1.63,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,27.8
003036,泰坦股份,自动化/制造,42.85,-5.12,0.86,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,39.85
300004,南风股份,自动化/制造,16.37,1.68,2.12,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,15.22
300331,苏大维格,电子,54.65,3.11,1.37,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,50.82
300429,强力新材,电子,15.3,5.74,2.67,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,倍量,,0.38,D,安全,14.23
300518,新迅达,互联网/软件,28.72,-3.46,0.73,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,26.71
300626,华瑞股份,电力设备,33.14,-3.1,1.24,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,30.82
300632,光莆股份,电子,35.26,10.71,1.51,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,32.79
300671,富满微,半导体/光伏,50.66,-4.67,1.02,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,47.11
300903,科翔股份,电子,75.05,-5.29,1.04,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,69.8
300985,致远新能,自动化/制造,23.94,-0.42,1.39,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,22.26
301028,鼎熔岩,自动化/制造,17.6,6.6,2.77,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,倍量,,0.38,D,安全,16.37
301182,凯旺科技,通信/计算机,76.38,3.52,1.65,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,71.03
301186,超达装备,新能源车/风电,77.05,2.46,0.79,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,71.66
301198,喜悦智行,环保/公用,17.96,1.3,0.69,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,16.7
301200,大族数控,自动化/制造,221.95,1.63,1.21,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,206.41
301246,宏源药业,医药,33.54,4.75,1.19,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,31.19
301265,华新科技,环保/公用,26.0,-1.33,0.56,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,24.18
301313,凡拓数创,传媒,38.35,2.1,1.05,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,35.67
301566,达利凯普,电子,26.61,-1.95,1.03,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,24.75
600367,红星发展,化工,24.95,3.36,1.1,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,23.2
600500,中化国际,化工,5.66,-3.74,2.61,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,倍量,,0.38,D,安全,5.26
600791,京能置业,基建/地产/石油石化,16.05,1.97,1.1,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,14.93
600984,建设机械,自动化/制造,5.03,2.86,3.89,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,倍量,,0.38,D,安全,4.68
603052,可川科技,电子,113.47,-1.66,2.06,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,105.53
603489,八方股份,电力设备,39.35,2.85,0.89,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,36.6
603680,今创集团,自动化/制造,15.19,3.83,1.39,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,14.13
605168,三人行,传媒,60.67,0.28,1.06,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,56.42
605303,园林股份,基建/地产/石油石化,25.95,1.92,0.84,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,24.13
688003,,自动化/制造,71.45,-0.87,1.04,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,66.45
688268,,电子,181.89,5.45,0.82,上涨趋势,0.8,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,169.16
688368,,半导体/光伏,190.45,15.26,1.88,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,177.12
688388,,新能源车/风电,52.27,4.17,1.89,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,48.61
688519,,电子,188.0,7.93,1.02,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,174.84
688559,,自动化/制造,61.44,4.83,1.63,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,放量,,0.38,D,安全,57.14
688693,,半导体/光伏,91.9,-4.27,1.4,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.38,D,安全,85.47
300170,汉得信息,互联网/软件,21.86,0.05,1.01,-,0.0,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,,,,0.347,B,安全,20.33
300586,美联新材,化工,11.72,-0.59,0.87,盘整,0.3,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,,,,0.347,B,安全,10.9
301051,信濠光电,电子,24.94,-3.3,0.98,-,0.0,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,,,,0.347,B,安全,23.19
601789,宁波建工,基建/地产/石油石化,6.05,-1.31,0.68,-,0.0,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,,,,0.347,B,安全,5.63
002802,洪汇新材,化工,14.33,-0.21,0.44,盘整,0.3,中枢上,,,-,-,B3(三买),0.765,-,,,,是,,线段级,0.603,,,,1.0,,,,0.341,B,安全,13.33
601998,中信银行,金融,8.1,-0.49,0.89,盘整,0.3,中枢上,,,-,-,B3(三买),0.763,-,,,,是,,线段级,0.603,,,,1.0,,,,0.3409,B,安全,7.53
001317,三羊马,交运,58.22,-0.21,0.96,-,0.0,中枢上,,,-,-,B3(三买),0.746,-,,,,是,,线段级,0.599,,,,1.0,,,,0.3397,B,安全,54.14
001289,龙源电力,电力设备,17.27,-2.48,0.92,盘整,0.3,中枢上,,,-,-,B3(三买),0.729,-,,,,是,,线段级,0.596,,,,1.0,,,,0.3385,B,安全,16.06
600149,廊坊发展,电力设备,6.32,-3.95,1.17,盘整,0.3,中枢上,,,-,-,B3(三买),0.725,-,,,,是,,线段级,0.595,,,,1.0,,,,0.3382,B,安全,5.88
600956,新天绿能,电力设备,8.68,-1.36,0.91,-,0.0,中枢上,,,-,-,B3(三买),0.719,-,,,,是,,线段级,0.594,,,,1.0,,,,0.3378,B,安全,8.07
301156,美农生物,化工,20.5,-1.54,1.17,-,0.0,中枢上,,,-,-,B3(三买),0.654,-,,,,是,,线段级,0.581,,,,1.0,,,,0.3333,B,安全,19.06
603307,扬州金泉,消费,43.95,-1.01,0.94,-,0.0,中枢上,,,-,-,B3(三买),0.637,-,,,,是,,线段级,0.577,,,,1.0,,,,0.3321,B,安全,40.87
603029,天鹅股份,自动化/制造,19.23,-0.62,0.85,盘整,0.3,中枢上,,,-,-,B3(三买),0.627,-,,,,是,,线段级,0.575,,,,1.0,,,,0.3314,B,安全,17.88
600845,宝信软件,互联网/软件,23.14,-1.49,1.08,-,0.0,中枢上,,,-,-,B3(三买),0.625,-,,,,是,,线段级,0.575,,,,1.0,,,,0.3312,B,安全,21.52
001333,光华股份,化工,26.05,10.01,3.01,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,,倍量,,0.33,D,安全,24.23
002115,三维通信,通信/计算机,14.21,-0.7,0.72,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.33,D,安全,13.22
002522,浙江众成,化工,6.89,-4.7,1.59,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,放量,,0.33,D,安全,6.41
002549,凯美特气,化工,19.96,0.25,1.32,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.33,D,安全,18.56
002748,世龙实业,化工,12.26,-0.81,0.91,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA10,,,0.33,D,安全,11.4
300576,容大感光,电子,42.55,3.0,2.85,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,,倍量,,0.33,D,安全,39.57
300975,商络电子,电子,22.2,-2.8,0.82,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.33,D,安全,20.65
600345,长江通信,通信/计算机,55.09,-6.63,0.98,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.33,D,安全,51.23
600935,华塑股份,化工,2.7,3.45,2.45,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,,放量,,0.33,D,安全,2.51
603499,翔港科技,环保/公用,21.66,-1.41,0.98,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.33,D,安全,20.14
603937,丽岛新材,有色/钢铁/煤炭,15.88,-1.98,0.8,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.33,D,安全,14.77
003003,天元股份,环保/公用,13.55,-0.22,0.97,-,0.0,中枢上,,,-,-,B3(三买),0.604,-,,,,是,,线段级,0.571,,,,1.0,,,,0.3298,B,安全,12.6
300531,优博讯,通信/计算机,20.26,-0.93,0.8,-,0.0,中枢上,,,-,-,B3(三买),0.597,-,,,,是,,线段级,0.569,,,,1.0,,,,0.3293,B,安全,18.84
000551,创元科技,环保/公用,17.09,4.14,1.39,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,15.89
000637,茂化实华,基建/地产/石油石化,4.68,-2.09,1.22,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,4.35
300133,华策影视,传媒,9.63,-3.89,0.98,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,8.96
300162,雷曼光电,电子,9.59,-0.31,1.49,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,8.92
300241,瑞丰光电,电子,6.97,-2.65,1.1,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,6.48
300617,安靠智电,电力设备,64.75,0.4,1.14,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,60.22
300932,三友联众,电力设备,10.25,0.0,0.89,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,9.53
301056,森赫股份,自动化/制造,15.34,-3.4,0.81,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,14.27
301110,青木科技,互联网/软件,72.35,2.58,1.14,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,67.29
301162,国能日新,互联网/软件,66.8,-1.84,0.94,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,62.12
301268,铭利达,自动化/制造,22.8,-0.57,0.95,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,21.2
301379,天山电子,电子,29.23,-2.31,1.18,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,27.18
301456,盘古智能,新能源车/风电,31.18,0.97,0.99,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,29.0
600157,永泰能源,电力设备,1.75,-1.69,1.05,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,1.63
600198,大唐电信,通信/计算机,9.31,-2.0,1.76,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,0.0,,放量,,0.3,D,安全,8.66
603057,紫燕食品,消费,28.07,-0.5,0.8,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,26.11
603488,展鹏科技,自动化/制造,11.76,1.55,0.93,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,10.94
605033,美邦股份,化工,23.11,0.22,1.0,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.3,D,安全,21.49
002453,华软科技,化工,6.21,-2.66,1.19,盘整,0.3,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,0.0,,,,0.297,D,安全,5.78
301130,西点药业,医药,31.56,-2.08,1.0,-,0.0,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,跌破MA5,,,0.297,D,安全,29.35
600790,轻纺城,消费,4.38,-0.9,0.82,-,0.0,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,跌破MA5,,,0.297,D,安全,4.07
688047,,半导体/光伏,167.49,-4.56,0.91,-,0.0,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,跌破MA5,,,0.297,D,安全,155.77
300235,方直科技,互联网/软件,13.97,-0.71,0.65,盘整,0.3,中枢上,,,-,-,B3(三买),0.847,-,,,,是,,线段级,0.619,,,,0.0,,,,0.2968,D,安全,12.99
300675,建科院,基建/地产/石油石化,16.19,-0.61,0.9,-,0.0,中枢上,,,-,-,B3(三买),0.756,-,,,,是,,线段级,0.601,,,,0.0,,,,0.2904,D,安全,15.06
600153,建发股份,交运,10.13,-0.49,0.81,盘整,0.3,中枢上,,,-,-,B3(三买),0.745,-,,,,是,,线段级,0.599,,,,0.0,,,,0.2896,D,安全,9.42
603506,南都物业,基建/地产/石油石化,13.06,-0.38,0.75,-,0.0,中枢上,,,-,-,B3(三买),0.743,-,,,,是,,线段级,0.599,,,,0.0,,,,0.2895,D,安全,12.15
300458,全志科技,半导体/光伏,36.15,-0.66,1.03,盘整,0.3,中枢上,,,-,-,B3(三买),0.73,-,,,,是,,线段级,0.596,,,,0.0,,,,0.2886,D,安全,33.62
600030,中信证券,金融,26.35,-1.16,0.91,盘整,0.3,中枢上,,,-,-,B3(三买),0.715,-,,,,是,,线段级,0.593,,,,0.0,,,,0.2875,D,安全,24.51
000034,神州数码,互联网/软件,40.72,-0.44,1.11,-,0.0,中枢上,,,-,-,B3(三买),0.682,-,,,,是,,线段级,0.586,,,,0.0,,,,0.2852,D,安全,37.87
002374,中锐股份,环保/公用,3.55,9.91,1.99,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.28,D,安全,3.3
300648,星云股份,新能源车/风电,51.43,4.3,1.58,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,放量,,0.28,D,安全,47.83
301109,军信股份,环保/公用,15.47,-1.02,0.69,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.28,D,高危,14.39
301500,飞南资源,环保/公用,29.04,-3.26,0.8,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.28,D,高危,27.01
688615,,互联网/软件,140.4,-3.43,0.81,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.28,D,安全,130.57
301177,迪阿股份,消费,31.17,0.26,1.78,盘整,0.3,中枢上,,,-,-,B3(三买),0.604,-,,,,是,,线段级,0.571,,,,0.0,,放量,,0.2797,D,安全,28.99
603709,中源家居,消费,18.92,-1.36,0.65,-,0.0,中枢内,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,,,,0.267,D,安全,17.6
300519,新光药业,医药,15.8,-1.25,0.86,-,0.0,中枢内,,,-,-,B3(三买),0.808,-,,,,是,,线段级,0.612,,,,1.0,,,,0.2641,D,安全,14.69
000417,合百集团,消费,7.15,-4.16,2.27,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,放量,,0.25,D,安全,6.65
000425,徐工机械,自动化/制造,10.21,-0.39,0.66,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA60,,,0.25,D,安全,9.5
000969,安泰科技,有色/钢铁/煤炭,21.57,-1.73,1.09,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.25,D,安全,20.06
002298,中电鑫龙,电力设备,11.34,1.89,1.4,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.25,D,安全,10.55
002300,太阳电缆,电力设备,10.13,-3.52,1.09,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.25,D,安全,9.42
002712,思美传媒,传媒,5.6,1.82,0.98,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.25,D,安全,5.21
003008,开普检测,消费,22.76,-0.52,0.65,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.25,D,安全,21.17
300053,航宇微,半导体/光伏,19.01,-2.61,0.87,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.25,D,安全,17.68
300128,锦富技术,新能源车/风电,7.53,4.01,2.91,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,倍量,,0.25,D,安全,7.0
300768,迪普科技,互联网/软件,17.24,-0.92,0.81,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.25,D,安全,16.03
300935,盈建科,互联网/软件,32.78,-2.85,0.98,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.25,D,安全,30.49
301507,民生健康,医药,14.4,-0.89,0.91,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.25,D,安全,13.39
603038,华立股份,建材,16.05,-0.93,0.5,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,0.0,跌破MA10,,,0.25,D,安全,14.93
605007,五洲特纸,建材,14.96,-2.16,0.8,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA10,,,0.25,D,安全,13.91
605286,同力天启,自动化/制造,42.76,-1.0,0.93,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,0.0,,,,0.25,D,安全,39.77
688315,,医药,14.37,0.98,0.94,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.25,D,安全,13.36
920509,同惠电子,自动化/制造,33.22,-0.54,1.31,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,,,,0.25,D,安全,30.89
920808,曙光数创,通信/计算机,81.9,-2.33,0.76,上涨趋势,0.65,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,跌破MA5,,,0.25,D,安全,76.17
301026,浩通科技,有色/钢铁/煤炭,30.59,-1.64,0.92,上涨趋势,0.65,中枢下,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10",,,0.25,D,高危,28.45
603665,康隆达,消费,30.47,-0.26,1.11,盘整,0.3,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,-1.0,,,,0.247,D,安全,28.34
002108,沧州明珠,化工,5.68,-5.18,0.86,盘整,0.3,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,"跌破MA5, 跌破MA10",,,0.247,D,高危,5.28
300657,弘信电子,电子,36.17,-4.21,1.0,-,0.0,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,"跌破MA5, 跌破MA10",,,0.247,D,高危,33.64
300913,兆龙互连,通信/计算机,55.31,-2.96,1.05,-,0.0,中枢上,,,-,-,B3(三买),0.84,-,,,,是,,线段级,0.618,,,,1.0,"跌破MA5, 跌破MA10",,,0.2463,D,高危,51.44
301213,观想科技,电子,71.48,-1.91,0.82,-,0.0,中枢上,,,-,-,B3(三买),0.797,-,,,,是,,线段级,0.609,,,,1.0,"跌破MA5, 跌破MA10",,,0.2433,D,高危,66.48
002479,富春环保,电力设备,5.53,-1.78,1.03,-,0.0,中枢上,,,-,-,B3(三买),0.791,-,,,,是,,线段级,0.608,,,,1.0,"跌破MA10, 跌破MA20",,,0.2429,D,高危,5.14
920357,雅葆轩,电子,25.56,-2.29,0.67,盘整,0.3,中枢上,,,-,-,B3(三买),0.789,-,,,,是,,线段级,0.608,,,,1.0,"跌破MA5, 跌破MA10",,,0.2427,D,高危,23.77
000629,钒钛股份,有色/钢铁/煤炭,3.58,-3.24,1.03,上涨趋势,0.8,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.23,D,高危,3.33
002452,长高电新,电力设备,10.8,-1.82,1.12,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.23,D,高危,10.04
002638,勤上股份,电力设备,4.43,-2.64,0.92,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.23,D,高危,4.12
301005,超捷股份,新能源车/风电,169.55,-4.75,0.86,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.23,D,高危,157.68
601179,中国西电,电力设备,17.14,-2.67,0.91,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.23,D,高危,15.94
603966,法兰泰克,自动化/制造,13.35,-2.55,0.95,上涨趋势,0.65,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20",,,0.23,D,高危,12.42
300040,九洲集团,电力设备,7.39,-1.2,0.92,-,0.0,中枢内,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,跌破MA5,,,0.217,D,安全,6.87
